                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3227,                 3.0004,                 1.4237,                0.39492,                0.32611,                0.29386,                0.18625,                 1.4966,                 2.6565,                   1.62,              0.0033259,              0.0033259,              0.0033259
                      2,                 1.3448,                 2.2625,                 1.4148,                0.45445,                0.35976,                0.36534,                0.23073,                  1.528,                 2.1972,                 1.5906,              0.0066329,              0.0066329,              0.0066329
                      3,                 1.4491,                 2.2753,                 1.4946,                0.35251,                0.26938,                0.23982,                0.13916,                 1.7534,                 2.6572,                 1.8539,              0.0099134,              0.0099134,              0.0099134
                      4,                  1.522,                 2.3224,                  1.563,                0.40875,                0.29055,                0.27811,                0.16235,                 1.6441,                 3.0108,                 1.7321,              0.0098812,              0.0098812,              0.0098812
                      5,                 1.4934,                 2.2073,                 1.5445,                0.54894,                0.33842,                0.37956,                0.23656,                 1.5647,                 2.1006,                 1.6497,              0.0098812,              0.0098812,              0.0098812
                      6,                 1.4545,                 2.0905,                 1.5158,                0.53147,                0.37388,                0.40576,                0.25847,                 1.5312,                 2.0146,                 1.6118,              0.0098416,              0.0098416,              0.0098416
                      7,                 1.4309,                 2.0165,                 1.4982,                0.57625,                0.41432,                0.46008,                0.29413,                 1.4673,                 1.8466,                 1.5651,               0.009802,               0.009802,               0.009802
                      8,                 1.4023,                 1.9293,                 1.4761,                0.54788,                 0.4403,                0.46372,                0.29228,                 1.4817,                 1.9234,                 1.5806,              0.0097624,              0.0097624,              0.0097624
                      9,                 1.3746,                 1.8657,                 1.4527,                0.55676,                0.43003,                0.46438,                0.30231,                 1.4585,                 1.8797,                 1.5499,              0.0097228,              0.0097228,              0.0097228
                     10,                 1.3715,                 1.8336,                 1.4506,                0.62554,                0.48169,                0.52791,                0.34239,                 1.3876,                 1.5444,                  1.495,              0.0096832,              0.0096832,              0.0096832
                     11,                 1.3501,                 1.7942,                 1.4367,                0.62373,                0.42885,                0.48218,                0.32319,                 1.4107,                 1.7307,                 1.5439,              0.0096436,              0.0096436,              0.0096436
                     12,                 1.3215,                 1.7273,                 1.4159,                0.60234,                0.46814,                0.50163,                0.32313,                 1.4329,                  1.717,                 1.5064,               0.009604,               0.009604,               0.009604
                     13,                 1.3132,                 1.7052,                 1.4157,                0.65325,                0.50081,                0.54792,                0.36324,                 1.3713,                 1.5189,                 1.4698,              0.0095644,              0.0095644,              0.0095644
                     14,                 1.3029,                 1.6936,                 1.4063,                0.70838,                0.49862,                0.57172,                0.37793,                  1.353,                 1.4827,                 1.4623,              0.0095248,              0.0095248,              0.0095248
                     15,                  1.288,                 1.6343,                 1.3966,                 0.7109,                0.51343,                0.58244,                0.38421,                 1.3659,                  1.414,                 1.4848,              0.0094852,              0.0094852,              0.0094852
                     16,                 1.2934,                 1.6216,                 1.3917,                0.67205,                0.51794,                0.57485,                0.38521,                 1.3378,                 1.4097,                 1.4562,              0.0094456,              0.0094456,              0.0094456
                     17,                 1.2689,                 1.5914,                 1.3841,                0.60996,                0.51505,                0.55229,                0.37344,                 1.3227,                 1.5087,                 1.4403,               0.009406,               0.009406,               0.009406
                     18,                 1.2676,                 1.5874,                 1.3838,                0.67211,                0.53881,                0.59958,                0.39211,                 1.3404,                 1.3481,                 1.4398,              0.0093664,              0.0093664,              0.0093664
                     19,                 1.2495,                 1.5565,                 1.3677,                0.68228,                0.53416,                0.59904,                0.40894,                 1.2916,                 1.3604,                 1.4153,              0.0093268,              0.0093268,              0.0093268
                     20,                 1.2441,                 1.5155,                 1.3657,                0.69838,                 0.5121,                0.59553,                0.40093,                  1.309,                 1.4198,                 1.4207,              0.0092872,              0.0092872,              0.0092872
                     21,                 1.2442,                 1.5232,                 1.3634,                 0.7009,                0.53256,                0.60696,                0.40498,                 1.3252,                 1.3532,                  1.429,              0.0092476,              0.0092476,              0.0092476
                     22,                 1.2264,                 1.4893,                 1.3543,                0.70617,                0.52026,                0.59115,                0.39952,                  1.326,                  1.422,                 1.4178,               0.009208,               0.009208,               0.009208
                     23,                 1.2384,                  1.498,                 1.3577,                0.70512,                0.55438,                0.62941,                0.42658,                 1.2894,                 1.2628,                 1.3945,              0.0091684,              0.0091684,              0.0091684
                     24,                 1.2318,                 1.4768,                 1.3569,                0.72672,                0.57796,                0.63266,                0.42911,                 1.2634,                  1.257,                  1.385,              0.0091288,              0.0091288,              0.0091288
                     25,                 1.2163,                 1.4493,                 1.3469,                0.71006,                0.55507,                 0.6326,                0.42251,                 1.2952,                 1.2712,                 1.4055,              0.0090892,              0.0090892,              0.0090892
                     26,                 1.2183,                 1.4635,                 1.3497,                0.72575,                0.56963,                 0.6418,                0.43014,                 1.2789,                 1.2682,                 1.3823,              0.0090496,              0.0090496,              0.0090496
                     27,                 1.2168,                 1.4374,                 1.3375,                 0.7371,                0.57191,                 0.6547,                0.44332,                 1.2637,                  1.182,                 1.3717,                0.00901,                0.00901,                0.00901
                     28,                 1.2017,                 1.4099,                 1.3296,                0.71397,                0.56308,                0.62447,                0.42864,                 1.2713,                  1.272,                 1.3921,              0.0089704,              0.0089704,              0.0089704
                     29,                 1.1912,                 1.3932,                 1.3167,                0.75898,                0.55022,                0.63883,                0.44306,                 1.2556,                 1.2518,                 1.3586,              0.0089308,              0.0089308,              0.0089308
                     30,                 1.1966,                 1.4194,                 1.3268,                0.73189,                0.57661,                  0.652,                0.44361,                 1.2463,                 1.1935,                 1.3549,              0.0088912,              0.0088912,              0.0088912
                     31,                 1.1804,                 1.3879,                 1.3211,                0.73412,                0.59105,                0.66028,                0.45008,                 1.2663,                 1.1859,                 1.3781,              0.0088516,              0.0088516,              0.0088516
                     32,                 1.1827,                 1.3873,                 1.3176,                0.74367,                0.56906,                0.65207,                0.45119,                 1.2384,                 1.1673,                 1.3519,               0.008812,               0.008812,               0.008812
                     33,                 1.1701,                 1.3529,                  1.312,                0.74765,                0.57553,                0.65399,                0.45354,                 1.2256,                 1.1818,                 1.3463,              0.0087724,              0.0087724,              0.0087724
                     34,                 1.1675,                 1.3355,                 1.3006,                 0.7388,                0.59444,                 0.6673,                0.46323,                 1.2431,                 1.1782,                 1.3527,              0.0087328,              0.0087328,              0.0087328
                     35,                 1.1774,                 1.3483,                 1.3118,                0.76197,                0.59829,                0.67999,                0.47151,                 1.2234,                 1.1472,                  1.338,              0.0086932,              0.0086932,              0.0086932
                     36,                 1.1684,                 1.3401,                 1.3107,                0.72736,                0.60398,                0.67862,                0.46345,                 1.2294,                 1.1578,                 1.3506,              0.0086536,              0.0086536,              0.0086536
                     37,                 1.1655,                 1.3196,                 1.3023,                0.75606,                 0.5781,                0.66752,                0.46996,                 1.1995,                 1.1389,                 1.3213,               0.008614,               0.008614,               0.008614
                     38,                 1.1381,                 1.2997,                 1.2865,                0.74337,                 0.6097,                0.68059,                0.46967,                 1.2239,                 1.1203,                 1.3355,              0.0085744,              0.0085744,              0.0085744
